                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.2183,                 2.3293,                0.98352,                  1.315,                0.63936,                0.58679,                0.60746,                0.34211,                0.63233,                0.58034,                0.58782,                0.26281,                 1.5082,                 2.6723,                 1.2479,                 1.5836,              0.0087724,              0.0087724,              0.0087724
                     65,                  1.203,                   2.31,                0.96935,                 1.3065,                0.62745,                0.61167,                0.60703,                0.34457,                0.63508,                0.58095,                0.58308,                0.26279,                 1.4839,                 2.6709,                 1.2462,                 1.5575,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.2032,                 2.3244,                0.97697,                 1.3068,                0.64419,                0.60276,                0.61975,                0.35332,                0.64322,                0.58187,                0.60021,                0.26915,                 1.4845,                 2.6404,                 1.2208,                 1.5572,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.1873,                 2.3101,                0.95629,                 1.2973,                0.62717,                 0.5876,                0.59804,                0.34107,                 0.6098,                0.58556,                 0.5815,                0.26055,                 1.4861,                 2.6928,                 1.2577,                 1.5578,               0.008713,               0.008713,               0.008713
                     68,                 1.1991,                 2.3063,                0.96286,                 1.3062,                0.67833,                0.58863,                0.62979,                 0.3592,                  0.697,                0.55822,                0.60451,                0.27135,                 1.4807,                 2.6291,                  1.193,                 1.5613,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.1922,                 2.3081,                0.96505,                 1.3071,                0.67104,                0.61014,                0.63449,                0.36328,                0.66274,                0.59355,                0.61272,                0.27692,                 1.4567,                 2.6232,                 1.1921,                 1.5523,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.1794,                 2.2738,                0.93338,                 1.2908,                0.66497,                0.59416,                0.61853,                0.35822,                0.66602,                0.58402,                0.60372,                0.27579,                 1.4641,                  2.655,                 1.2119,                 1.5476,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.1744,                 2.2861,                0.93337,                 1.2843,                0.65313,                0.59386,                0.61265,                0.35334,                0.65002,                0.57459,                0.59368,                0.27136,                 1.4714,                 2.6558,                 1.2107,                 1.5501,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.1691,                 2.2672,                0.91622,                 1.2727,                 0.6623,                0.61036,                0.62725,                0.36593,                0.66119,                0.60313,                0.61543,                0.28633,                 1.4575,                 2.5991,                 1.1718,                 1.5446,               0.008614,               0.008614,               0.008614
                     73,                 1.1681,                 2.2634,                0.92459,                 1.2836,                0.67856,                0.60399,                 0.6315,                0.36421,                0.68084,                0.57849,                0.60932,                0.27835,                 1.4575,                 2.6145,                 1.1881,                 1.5363,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.1476,                 2.2481,                0.89923,                 1.2646,                0.66847,                0.59754,                0.62701,                0.36515,                0.67496,                0.58464,                0.61211,                0.28182,                 1.4563,                  2.582,                 1.2022,                 1.5352,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.1588,                 2.2511,                0.90728,                 1.2713,                 0.6771,                0.61014,                0.63154,                0.36829,                0.67029,                0.59335,                 0.6118,                0.28389,                 1.4386,                 2.5931,                 1.1807,                  1.533,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.1432,                 2.2487,                0.90543,                 1.2686,                0.67975,                0.60215,                0.63238,                0.36229,                0.66176,                0.59205,                0.60784,                0.27936,                 1.4573,                  2.615,                 1.1616,                 1.5441,              0.0085348,              0.0085348,              0.0085348
                     77,                  1.151,                 2.2355,                0.89646,                 1.2652,                0.64996,                0.59846,                0.61826,                 0.3544,                0.64141,                0.58771,                0.59423,                0.26952,                  1.485,                 2.7114,                 1.2086,                 1.5541,               0.008515,               0.008515,               0.008515
                     78,                 1.1423,                 2.2184,                0.88452,                 1.2551,                0.68098,                0.62857,                0.66034,                0.38488,                0.66959,                0.61352,                 0.6311,                0.29458,                 1.4369,                 2.5657,                 1.1382,                 1.5177,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.1357,                 2.2256,                0.88373,                 1.2601,                0.67332,                0.62181,                0.64618,                0.37686,                0.66849,                0.60584,                0.62338,                0.29007,                 1.4511,                  2.584,                 1.1542,                 1.5331,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.1264,                 2.2177,                0.87035,                 1.2549,                0.66202,                0.62796,                0.63867,                0.36946,                0.65425,                0.60984,                0.61519,                0.27843,                 1.4801,                 2.6713,                 1.1608,                 1.5686,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.1141,                 2.1991,                0.87093,                 1.2499,                 0.6682,                0.63257,                0.64958,                0.38769,                  0.668,                0.61073,                0.62931,                0.29698,                 1.4006,                 2.5604,                 1.1363,                 1.5098,              0.0084358,              0.0084358,              0.0084358
                     82,                   1.11,                 2.1861,                0.85512,                 1.2405,                0.68433,                0.62181,                0.64658,                0.38112,                 0.6725,                0.61106,                0.62024,                0.29016,                 1.4309,                 2.5935,                 1.1451,                 1.5368,               0.008416,               0.008416,               0.008416
                     83,                 1.1179,                 2.1983,                0.85806,                 1.2491,                0.69929,                 0.5987,                0.65133,                0.38332,                0.68923,                0.59416,                0.63173,                0.29237,                 1.4311,                 2.5732,                 1.1463,                 1.5212,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.1081,                 2.1753,                0.84671,                 1.2392,                0.68398,                0.62372,                 0.6467,                 0.3796,                0.68813,                 0.6043,                0.62782,                0.29107,                 1.4375,                  2.571,                  1.138,                 1.5542,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.1011,                 2.1888,                0.84864,                 1.2359,                 0.7087,                0.61782,                0.65962,                0.39177,                0.69216,                0.60553,                 0.6393,                0.30165,                 1.4139,                 2.5415,                 1.1202,                 1.5185,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.1082,                 2.1769,                0.84491,                 1.2361,                0.70481,                0.61966,                0.64771,                0.38192,                0.69001,                0.60316,                0.62061,                0.28996,                 1.4381,                 2.5669,                  1.112,                 1.5309,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.0912,                 2.1358,                0.82586,                 1.2229,                0.70079,                0.63871,                0.66759,                  0.395,                0.69563,                0.62273,                0.64717,                0.30366,                  1.401,                 2.5204,                  1.087,                 1.4952,               0.008317,               0.008317,               0.008317
                     88,                 1.0852,                 2.1463,                0.82614,                  1.219,                0.68368,                0.61444,                0.64599,                0.38536,                0.68326,                    0.6,                0.62431,                0.29356,                  1.419,                 2.5524,                 1.1344,                  1.524,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.0823,                 2.1408,                0.82212,                  1.216,                0.70946,                0.63166,                0.66742,                0.40355,                0.70187,                 0.6249,                0.64749,                0.31056,                 1.3893,                 2.5093,                 1.0816,                 1.4973,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.0898,                 2.1313,                 0.8103,                 1.2147,                0.71076,                0.61782,                0.65129,                0.39428,                0.70547,                0.60276,                0.63135,                0.30049,                 1.3838,                 2.5167,                 1.1202,                 1.4881,              0.0082576,              0.0082576,              0.0082576
                     91,                  1.065,                 2.1201,                0.80866,                 1.2083,                0.70575,                0.61843,                0.66453,                0.39917,                0.70062,                0.60061,                0.64443,                0.30708,                 1.3974,                  2.574,                 1.1056,                 1.5117,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.0717,                 2.1284,                0.81394,                 1.2089,                0.71638,                0.62488,                0.66291,                0.39836,                0.70588,                0.61751,                 0.6448,                0.31081,                 1.4009,                 2.5077,                 1.1023,                 1.5156,               0.008218,               0.008218,               0.008218
                     93,                  1.073,                 2.1269,                0.80883,                 1.2116,                0.70929,                0.62488,                 0.6616,                0.39847,                0.70834,                0.60307,                0.63298,                0.30635,                 1.3894,                   2.53,                  1.102,                 1.5095,              0.0081982,              0.0081982,              0.0081982
